step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
0,4,0.0,0.0122,,
1,4,0.0,0.0225,,
2,4,0.0,0.0252,,
3,6,0.0,0.0379,,
4,8,0.0,0.0453,,
5,8,0.0,0.0485,,
6,8,0.0,0.0556,,
7,11,0.0,0.065,,
8,13,0.0,0.0704,,
9,13,0.0,0.0607,,
10,12,0.0,0.0541,,
11,14,0.0,0.0555,,
12,13,0.0,0.0503,,
13,13,0.06,0.0428,,
14,13,0.12,0.0474,,
15,13,0.24,0.0435,,
16,15,0.38,0.0591,,
17,14,0.57,0.0607,,
18,14,0.81,0.0515,,
19,13,1.15,0.0677,,
20,13,1.53,0.0631,,
21,13,1.84,0.0636,,
22,13,2.21,0.0724,,
23,14,2.58,0.0639,,
24,16,2.48,0.0614,,
25,16,2.91,0.0555,,
26,15,3.35,0.0391,,
27,16,3.78,0.0345,,
28,15,4.41,0.0367,,
29,15,5.35,0.036,,
30,15,6.21,0.0369,,
31,16,6.79,0.04,,
32,18,6.09,0.0479,,
33,16,4.83,0.0483,,
34,16,5.26,0.0339,,
35,16,5.95,0.034,,
36,21,4.73,0.0447,,
37,21,5.13,0.0664,,
38,21,5.76,0.0738,,
39,23,6.21,0.082,,
40,26,5.85,0.0919,,
41,26,6.27,0.1046,,
42,26,6.7,0.0916,,
43,28,7.15,0.0911,,
44,29,7.61,0.0864,,
45,29,2.82,0.0605,,
46,29,0.91,0.0472,,
47,26,0.7,0.0458,,
48,28,0.75,0.0557,,
49,28,0.92,0.0431,,
50,25,1.11,0.0425,,
51,25,1.33,0.07,,
52,25,1.61,0.0713,,
53,22,1.86,0.0978,,
54,22,2.17,0.1032,,
55,22,2.47,0.1008,,
56,23,2.52,0.1146,,
57,22,2.88,0.1262,,
58,22,3.23,0.1096,,
59,22,3.76,0.1041,,
60,22,4.24,0.075,,
61,21,4.75,0.1013,,
62,20,5.44,0.0756,,
63,20,5.88,0.0877,,
64,22,5.84,0.0805,,
65,22,6.63,0.0926,,
66,22,7.52,0.066,,
67,23,8.8,0.0521,,
68,23,9.33,0.0624,,
69,22,10.21,0.0533,19,
70,22,11.56,0.0545,,
71,22,12.62,0.0452,,
72,28,9.32,0.0639,,
73,28,10.08,0.0715,,
74,28,10.89,0.0721,,
75,28,11.08,0.0787,,
76,31,11.58,0.0784,,
77,30,12.08,0.0876,,
78,29,12.61,0.0874,,
79,31,13.14,0.0877,,
80,32,11.5,0.0886,,
81,31,10.53,0.0749,,
82,32,10.76,0.0749,,
83,32,11.18,0.0543,,
84,32,11.61,0.0575,,
85,31,12.03,0.0647,,
86,31,12.5,0.0701,,
87,32,13.0,0.0671,,
88,33,12.61,0.0728,,
89,33,13.55,0.0816,,
90,33,7.33,0.0717,,
91,33,3.83,0.067,,
92,30,1.68,0.0732,,
93,30,0.9,0.0793,,
94,30,0.87,0.0587,,
95,27,0.84,0.0599,,
96,29,0.95,0.0935,,
97,28,1.12,0.0752,,
98,25,1.46,0.1024,,
99,25,1.74,0.0872,,
100,22,1.98,0.0885,,
101,22,2.25,0.1063,,
102,21,2.52,0.0933,,
103,19,2.95,0.0849,,
104,21,3.08,0.0816,,
105,19,3.44,0.1049,,
106,19,3.82,0.0825,,
107,18,4.24,0.097,,
108,22,3.93,0.1108,,
109,22,4.64,0.0959,,
110,22,5.11,0.1148,,
111,24,5.75,0.1137,,
112,27,5.64,0.1176,,
113,27,6.16,0.1296,,
114,27,6.7,0.0889,,
115,28,7.49,0.093,,
116,29,8.15,0.087,,
117,28,8.59,0.0716,,
118,28,9.59,0.0639,,
119,29,10.09,0.051,,
120,31,9.42,0.0594,,
121,29,9.86,0.066,,
122,29,10.33,0.0539,,
123,28,10.83,0.0589,,
124,28,11.69,0.0617,,
125,28,12.62,0.0633,,
126,28,13.29,0.0681,,
127,27,12.0,0.0739,,
128,29,9.68,0.0804,,
129,29,9.89,0.0717,,
130,29,10.13,0.0594,,
131,27,10.62,0.0653,,
132,28,11.73,0.0792,,
133,28,12.3,0.076,,
134,28,13.6,0.0788,,
135,29,7.03,0.0859,,
136,31,2.95,0.0915,,
137,28,1.31,0.1052,,
138,28,0.54,0.0794,,
139,28,0.74,0.0839,,
140,26,0.82,0.0985,,
141,26,1.08,0.1193,,
142,25,1.21,0.1099,,
143,23,1.38,0.1408,,
144,29,1.26,0.1294,,
145,27,1.47,0.1361,,
146,27,1.65,0.1575,,
147,27,1.88,0.1535,,
148,28,2.08,0.1211,,
149,27,2.34,0.1246,,
150,28,2.61,0.1094,,
151,27,2.89,0.1376,,
152,28,2.85,0.1199,,
153,28,3.13,0.1312,,
154,27,3.51,0.0879,,
155,27,3.76,0.0901,,
156,26,4.19,0.0928,,
157,25,4.66,0.088,,
158,25,5.08,0.115,,
159,24,5.56,0.075,,
160,25,5.66,0.0805,,
161,25,6.55,0.0689,,21
162,25,7.22,0.0716,,
163,25,7.92,0.0613,,
164,26,8.94,0.0667,,
165,25,9.79,0.0679,,
166,25,10.36,0.0688,,
167,25,10.94,0.0585,,
168,26,10.06,0.0612,,
169,26,10.76,0.0689,,
170,25,10.67,0.056,,
171,25,10.94,0.0508,,
172,25,11.13,0.0521,,
173,25,11.65,0.0537,,
174,24,12.16,0.0578,,
175,25,12.71,0.0602,,
176,27,11.8,0.0659,,
177,26,12.37,0.0711,,
178,26,12.94,0.082,,
179,27,13.91,0.064,,
