step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time
1,0,0.0,0.0061,,
2,0,0.0,0.0182,,
3,0,0.0,0.0256,,
4,0,0.0,0.024,,
5,0,0.0,0.0357,,
6,0,0.0,0.0449,,
7,0,0.0,0.0523,,
8,0,0.0,0.0614,,
9,1,0.0,0.0701,,
10,4,0.0,0.0662,,
11,6,0.0,0.0646,,
12,6,0.0,0.0675,,
13,9,0.0,0.0866,,
14,10,0.0,0.0844,,
15,12,0.0,0.084,,
16,13,0.0,0.063,,
17,14,0.0,0.0631,,
18,12,0.0,0.0719,,
19,11,0.0,0.0549,,
20,11,0.0,0.0643,,
21,10,0.05,0.0664,,
22,11,0.11,0.0569,,
23,12,0.21,0.067,,
24,9,0.32,0.0586,,
25,9,0.35,0.0465,,
26,9,0.43,0.0574,,
27,9,0.57,0.0434,,
28,8,0.7,0.0403,,
29,8,0.83,0.074,,
30,8,0.17,0.0445,,
31,7,0.0,0.0581,,
32,5,0.0,0.0798,,
33,5,0.04,0.0994,,
34,7,0.13,0.0808,,
35,7,0.22,0.0792,,
36,7,0.3,0.0678,,
37,7,0.19,0.0979,,
38,7,0.22,0.0751,,
39,6,0.26,0.0526,,
40,5,0.3,0.0543,,
41,5,0.0,0.0656,,
42,5,0.0,0.0851,,
43,4,0.0,0.0833,,
44,2,0.0,0.085,,
45,2,0.0,0.1046,,
46,5,0.0,0.1017,,40
47,5,0.04,0.1107,,
48,5,0.09,0.0936,,
49,5,0.11,0.091,,
50,5,0.15,0.085,,
51,5,0.2,0.0859,,
52,5,0.25,0.0682,43,
53,5,0.29,0.0563,,
54,5,0.33,0.0856,,
55,7,0.38,0.0817,,
56,6,0.42,0.0929,,
57,6,0.46,0.0646,,
58,9,0.57,0.0849,,
59,10,0.71,0.0551,,
60,10,0.81,0.045,,
61,10,0.79,0.0549,,
62,10,0.18,0.0589,,
63,9,0.0,0.0452,,
64,6,0.0,0.0425,,
65,5,0.0,0.0558,,
66,5,0.0,0.0817,,
67,4,0.0,0.0834,,
68,4,0.04,0.0747,,
69,5,0.12,0.0857,,
70,8,0.21,0.0762,,
71,9,0.3,0.0754,,
72,10,0.45,0.0491,,
73,11,0.28,0.0667,,
74,11,0.24,0.0564,,
75,10,0.28,0.054,,
76,10,0.32,0.0544,,
77,10,0.36,0.0443,,
78,8,0.4,0.0505,,
79,8,0.44,0.0612,,
80,7,0.52,0.0618,,
81,4,0.61,0.0587,,
82,7,0.76,0.0608,,
83,8,0.9,0.0546,,
84,7,0.95,0.0587,,
85,7,0.88,0.05,,
86,6,1.0,0.0443,,
87,6,0.33,0.0472,,
88,6,0.0,0.0524,,
89,5,0.0,0.0496,,
90,5,0.0,0.051,,
91,2,0.0,0.0684,,
92,1,0.0,0.0745,,
93,1,0.04,0.0879,,
94,5,0.08,0.0768,,
95,5,0.12,0.0658,,
96,5,0.0,0.0575,,
97,5,0.0,0.0669,,
98,5,0.0,0.0701,,
99,5,0.0,0.0744,,
100,7,0.0,0.0718,,
101,8,0.0,0.0658,,
102,8,0.0,0.0689,,
103,6,0.0,0.0531,,
104,6,0.04,0.0663,,
105,6,0.08,0.0767,,
106,8,0.0,0.08,,
107,9,0.05,0.0615,,
108,9,0.0,0.0491,,
109,8,0.0,0.0424,,
110,5,0.0,0.0582,,
111,5,0.0,0.0628,,
112,5,0.0,0.0463,,
113,4,0.0,0.0588,,
114,4,0.0,0.0491,,
115,4,0.0,0.0604,,
116,1,0.0,0.0732,,
117,1,0.0,0.0657,,
118,4,0.0,0.0693,,
119,5,0.06,0.0577,,
120,5,0.0,0.0404,,
121,5,0.0,0.0418,,
122,5,0.0,0.0553,,
123,4,0.0,0.0543,,
124,4,0.0,0.0472,,
125,4,0.0,0.0558,,
126,4,0.0,0.0774,,
127,2,0.0,0.0805,,
128,2,0.04,0.0692,,
129,2,0.09,0.1076,,
130,6,0.14,0.0971,,
131,8,0.19,0.0844,,
132,7,0.0,0.0747,,
133,8,0.0,0.0718,,
134,8,0.0,0.0653,,
135,8,0.0,0.0688,,
136,8,0.0,0.0883,,
137,9,0.0,0.0758,,
138,9,0.0,0.1034,,
139,7,0.0,0.0791,,
140,5,0.04,0.1003,,
141,5,0.09,0.0705,,
142,7,0.14,0.094,,
143,7,0.18,0.0712,,
144,8,0.27,0.048,,
145,11,0.31,0.0561,,
146,10,0.38,0.0522,,
147,10,0.31,0.0498,,
148,9,0.35,0.0632,,
149,9,0.4,0.086,,
150,9,0.48,0.0948,,
151,8,0.52,0.0461,,
152,8,0.0,0.0876,,
153,7,0.0,0.0982,,
154,8,0.04,0.0672,,
155,7,0.09,0.0534,,
156,6,0.13,0.0488,,
157,6,0.0,0.0707,,
158,6,0.0,0.0777,,
159,5,0.04,0.0645,,
160,5,0.08,0.0864,,
161,5,0.12,0.0712,,
162,5,0.17,0.0814,,
163,3,0.27,0.0777,,
164,2,0.38,0.0676,,
165,3,0.52,0.075,,
166,4,0.7,0.0638,,
167,6,0.85,0.0586,,
168,6,0.5,0.0411,,
169,6,0.33,0.0315,,
170,5,0.46,0.055,,
171,4,0.21,0.0593,,
172,4,0.22,0.0551,,
173,4,0.24,0.0454,,
174,4,0.0,0.049,,
175,3,0.0,0.058,,
176,2,0.05,0.0632,,
177,2,0.05,0.0546,,
178,5,0.16,0.0643,,
179,5,0.28,0.0569,,
180,5,0.17,0.0458,,
181,5,0.0,0.059,,
182,5,0.0,0.0662,,
183,4,0.0,0.0654,,
184,4,0.0,0.0615,,
185,4,0.0,0.0535,,
186,4,0.0,0.0862,,
187,1,0.0,0.0812,,
188,1,0.0,0.0943,,
189,3,0.04,0.1039,,
190,5,0.08,0.1039,,
191,7,0.12,0.0955,,
192,8,0.0,0.087,,
193,9,0.0,0.088,,
194,9,0.0,0.0575,,
195,12,0.0,0.085,,
196,12,0.0,0.061,,
197,12,0.0,0.052,,
198,12,0.0,0.0523,,
199,9,0.0,0.0534,,
200,7,0.0,0.0621,,
201,7,0.05,0.0677,,
202,10,0.09,0.0781,,
203,9,0.19,0.0396,,
204,8,0.29,0.0332,,
205,8,0.16,0.0478,,
206,7,0.24,0.0402,,
207,7,0.32,0.0512,,
208,7,0.24,0.047,,
209,6,0.28,0.0547,,
210,5,0.35,0.0579,,
211,4,0.41,0.0666,,
