step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
1,4,0.0,0.012,,,0,1.0
2,4,0.0,0.023,,,0,1.0
3,4,0.0,0.025,,,0,1.0
4,6,0.0,0.038,,,0,1.0
5,8,0.0,0.045,,,0,1.0
6,8,0.0,0.049,,,0,1.0
7,8,0.0,0.056,,,0,1.0
8,11,0.0,0.065,,,0,1.0
9,13,0.0,0.07,,,0,1.0
10,13,0.0,0.061,,,0,1.0
11,12,0.0,0.054,,,0,1.0
12,14,0.0,0.056,,,0,1.0
13,13,0.0,0.05,,,0,1.0
14,13,0.06,0.043,,,0,1.0
15,13,0.12,0.047,,,0,1.0
16,13,0.24,0.044,,,0,1.0
17,15,0.38,0.059,,,0,1.0
18,14,0.43,0.061,,,0,1.0
19,12,0.33,0.047,,,0,1.0
20,12,0.55,0.065,,,0,1.0
21,13,0.79,0.054,,,0,1.0
22,13,0.0,0.067,,,0,1.0
23,13,0.05,0.063,,,0,1.0
24,10,0.16,0.06,,,0,1.0
25,12,0.26,0.073,,,0,1.0
26,12,0.43,0.054,,,0,1.0
27,11,0.61,0.051,,,0,1.0
28,11,0.78,0.06,,,0,1.0
29,12,1.05,0.056,,,0,1.0
30,12,1.33,0.043,,,0,1.0
31,10,1.48,0.07,,,0,1.0
32,10,1.71,0.055,,,0,1.0
33,12,1.68,0.05,,,0,1.0
34,12,2.0,0.072,,,0,1.0
35,12,2.25,0.061,,,0,1.0
36,12,2.73,0.044,,,0,1.0
37,17,2.36,0.074,,,0,1.0
38,16,2.19,0.063,,,0,1.0
39,15,2.46,0.082,,,0,1.0
40,17,2.65,0.064,,,0,1.0
41,20,2.0,0.073,,,0,1.0
42,19,0.1,0.07,,,0,1.0
43,19,0.04,0.07,,,0,1.0
44,20,0.07,0.074,,,0,1.0
45,18,0.11,0.073,,,0,1.0
46,18,0.15,0.071,,,0,1.0
47,16,0.19,0.055,,,0,1.0
48,16,0.23,0.05,,,0,1.0
49,17,0.27,0.057,,,0,1.0
50,17,0.33,0.059,,,0,1.0
51,15,0.47,0.062,,,0,1.0
52,13,0.59,0.062,,,0,1.0
53,14,0.76,0.068,,,0,1.0
54,14,1.0,0.059,,,0,1.0
