step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
1,4.0,0.0,0.018,,,0,1.0
2,4.0,0.0,0.032,,,0,1.0
3,4.0,0.0,0.037,,,0,1.0
4,8.0,0.0,0.044,,,0,1.0
5,10.0,0.0,0.057,,,0,1.0
6,10.0,0.0,0.065,,,0,1.0
7,11.0,0.0,0.073,,,0,1.0
8,15.0,0.0,0.082,,,0,1.0
9,17.0,0.0,0.09,,,0,1.0
10,17.0,0.0,0.101,,,0,1.0
11,18.0,0.0,0.082,,,0,1.0
12,19.0,0.0,0.073,,,0,1.0
13,18.0,0.0,0.065,,,0,1.0
14,19.0,0.04,0.061,,,0,1.0
15,19.0,0.09,0.052,,,0,1.0
16,18.0,0.22,0.055,,,0,1.0
17,20.0,0.38,0.068,,,0,1.0
18,19.0,0.59,0.08,,,0,1.0
19,20.0,0.83,0.09,,,0,1.0
20,20.0,0.86,0.081,,,0,1.0
21,19.0,1.19,0.075,,,0,1.0
22,20.0,1.48,0.082,,,0,1.0
23,20.0,1.52,0.079,,,0,1.0
24,21.0,0.81,0.082,,,0,1.0
25,23.0,0.69,0.087,,,0,1.0
26,20.0,0.81,0.075,,,0,1.0
27,18.0,1.06,0.064,,,0,1.0
28,19.0,1.33,0.057,,,0,1.0
29,18.0,1.68,0.046,,,0,1.0
30,17.0,1.96,0.059,,,0,1.0
31,16.0,2.29,0.083,,,0,1.0
32,18.0,2.61,0.071,,,0,1.0
33,19.0,2.41,0.096,,,0,1.0
34,20.0,2.76,0.068,,,0,1.0
35,20.0,3.09,0.087,,,0,1.0
36,22.0,3.42,0.085,,,0,1.0
37,26.0,2.88,0.092,,,0,1.0
38,25.0,3.21,0.089,,,0,1.0
39,26.0,3.67,0.095,,,0,1.0
40,30.0,2.0,0.1,,,0,1.0
41,32.0,1.77,0.096,,,0,1.0
42,25.0,1.95,0.109,,,0,1.0
43,26.0,2.17,0.1,,,0,1.0
44,30.0,2.4,0.089,,,0,1.0
45,28.0,2.64,0.119,,,0,1.0
46,27.0,2.82,0.109,,,0,1.0
47,26.0,3.0,0.092,,,0,1.0
48,26.0,3.18,0.089,,,0,1.0
49,27.0,2.42,0.096,,,0,1.0
50,27.0,0.23,0.09,,,0,1.0
51,25.0,0.02,0.075,,,0,1.0
